Planning Area,Subzone,Age Group,Floor Area,2024
Ang Mo Kio,Total,60 - 64,> 60 - 80,3840
Ang Mo Kio,Total,60 - 64,> 80 - 100,3840
Ang Mo Kio,Total,60 - 64,> 100 - 120,1270
Ang Mo Kio,Total,60 - 64,> 120,2290
Ang Mo Kio,Total,65 - 69,Total*,12010
Ang Mo Kio,Total,65 - 69,≤ 60,1100
Ang Mo Kio,Total,65 - 69,> 60 - 80,3740
Ang Mo Kio,Total,65 - 69,> 80 - 100,3780
Ang Mo Kio,Total,65 - 69,> 100 - 120,1110
Ang Mo Kio,Total,65 - 69,> 120,2150
Ang Mo Kio,Total,70 - 74,Total*,11080
Ang Mo Kio,Total,70 - 74,≤ 60,980
Ang Mo Kio,Total,70 - 74,> 60 - 80,3560
Ang Mo Kio,Total,70 - 74,> 80 - 100,3580
Ang Mo Kio,Total,70 - 74,> 100 - 120,1010
Ang Mo Kio,Total,70 - 74,> 120,1780
Ang Mo Kio,Total,75 - 79,Total*,7970
Ang Mo Kio,Total,75 - 79,≤ 60,680
Ang Mo Kio,Total,75 - 79,> 60 - 80,2550
Ang Mo Kio,Total,75 - 79,> 80 - 100,2590
Ang Mo Kio,Total,75 - 79,> 100 - 120,760
Ang Mo Kio,Total,75 - 79,> 120,1230
Ang Mo Kio,Total,80 - 84,Total*,5020
Ang Mo Kio,Total,80 - 84,≤ 60,410
Ang Mo Kio,Total,80 - 84,> 60 - 80,1530
Ang Mo Kio,Total,80 - 84,> 80 - 100,1740
Ang Mo Kio,Total,80 - 84,> 100 - 120,400
Ang Mo Kio,Total,80 - 84,> 120,750
Ang Mo Kio,Total,85 - 89,Total*,2700
Ang Mo Kio,Total,85 - 89,≤ 60,190
Ang Mo Kio,Total,85 - 89,> 60 - 80,750
Ang Mo Kio,Total,85 - 89,> 80 - 100,930
Ang Mo Kio,Total,85 - 89,> 100 - 120,230
Ang Mo Kio,Total,85 - 89,> 120,440
Ang Mo Kio,Total,90 & Over,Total*,1520
Ang Mo Kio,Total,90 & Over,≤ 60,120
Ang Mo Kio,Total,90 & Over,> 60 - 80,360
Ang Mo Kio,Total,90 & Over,> 80 - 100,550
Ang Mo Kio,Total,90 & Over,> 100 - 120,100
Ang Mo Kio,Total,90 & Over,> 120,230
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total*,4850
Ang Mo Kio,Ang Mo Kio Town Centre,Total,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,Total,> 60 - 80,320
Ang Mo Kio,Ang Mo Kio Town Centre,Total,> 80 - 100,960
Ang Mo Kio,Ang Mo Kio Town Centre,Total,> 100 - 120,2930
Ang Mo Kio,Ang Mo Kio Town Centre,Total,> 120,610
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Total*,130
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,> 60 - 80,10
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,> 80 - 100,30
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,> 100 - 120,80
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,> 120,10
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Total*,230
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,> 60 - 80,10
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,> 80 - 100,40
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,> 100 - 120,140
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,> 120,30
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Total*,280
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,> 60 - 80,10
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,> 80 - 100,40
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,> 100 - 120,190
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,> 120,40
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,Total*,290
