Planning Area,Subzone,Age Group,Type of Dwelling,2024
Ang Mo Kio,Total,30 - 34,Condominiums and Other Apartments,800
Ang Mo Kio,Total,30 - 34,Landed Properties,970
Ang Mo Kio,Total,30 - 34,Others,70
Ang Mo Kio,Total,35 - 39,Total,9610
Ang Mo Kio,Total,35 - 39,Total HDB^,7920
Ang Mo Kio,Total,35 - 39,1- and 2-Room Flats*,500
Ang Mo Kio,Total,35 - 39,3-Room Flats,3110
Ang Mo Kio,Total,35 - 39,4-Room Flats,2970
Ang Mo Kio,Total,35 - 39,5-Room and Executive Flats,1350
Ang Mo Kio,Total,35 - 39,Condominiums and Other Apartments,870
Ang Mo Kio,Total,35 - 39,Landed Properties,750
Ang Mo Kio,Total,35 - 39,Others,70
Ang Mo Kio,Total,40 - 44,Total,10710
Ang Mo Kio,Total,40 - 44,Total HDB^,8600
Ang Mo Kio,Total,40 - 44,1- and 2-Room Flats*,420
Ang Mo Kio,Total,40 - 44,3-Room Flats,3660
Ang Mo Kio,Total,40 - 44,4-Room Flats,2950
Ang Mo Kio,Total,40 - 44,5-Room and Executive Flats,1570
Ang Mo Kio,Total,40 - 44,Condominiums and Other Apartments,1180
Ang Mo Kio,Total,40 - 44,Landed Properties,870
Ang Mo Kio,Total,40 - 44,Others,60
Ang Mo Kio,Total,45 - 49,Total,11210
Ang Mo Kio,Total,45 - 49,Total HDB^,8860
Ang Mo Kio,Total,45 - 49,1- and 2-Room Flats*,430
Ang Mo Kio,Total,45 - 49,3-Room Flats,3880
Ang Mo Kio,Total,45 - 49,4-Room Flats,2870
Ang Mo Kio,Total,45 - 49,5-Room and Executive Flats,1680
Ang Mo Kio,Total,45 - 49,Condominiums and Other Apartments,1310
Ang Mo Kio,Total,45 - 49,Landed Properties,1010
Ang Mo Kio,Total,45 - 49,Others,40
Ang Mo Kio,Total,50 - 54,Total,12090
Ang Mo Kio,Total,50 - 54,Total HDB^,9390
Ang Mo Kio,Total,50 - 54,1- and 2-Room Flats*,590
Ang Mo Kio,Total,50 - 54,3-Room Flats,4210
Ang Mo Kio,Total,50 - 54,4-Room Flats,3020
Ang Mo Kio,Total,50 - 54,5-Room and Executive Flats,1580
Ang Mo Kio,Total,50 - 54,Condominiums and Other Apartments,1440
Ang Mo Kio,Total,50 - 54,Landed Properties,1190
Ang Mo Kio,Total,50 - 54,Others,60
Ang Mo Kio,Total,55 - 59,Total,11660
Ang Mo Kio,Total,55 - 59,Total HDB^,9350
Ang Mo Kio,Total,55 - 59,1- and 2-Room Flats*,840
Ang Mo Kio,Total,55 - 59,3-Room Flats,4380
Ang Mo Kio,Total,55 - 59,4-Room Flats,2830
Ang Mo Kio,Total,55 - 59,5-Room and Executive Flats,1300
Ang Mo Kio,Total,55 - 59,Condominiums and Other Apartments,1080
Ang Mo Kio,Total,55 - 59,Landed Properties,1140
Ang Mo Kio,Total,55 - 59,Others,90
Ang Mo Kio,Total,60 - 64,Total,12340
Ang Mo Kio,Total,60 - 64,Total HDB^,10130
Ang Mo Kio,Total,60 - 64,1- and 2-Room Flats*,950
Ang Mo Kio,Total,60 - 64,3-Room Flats,4700
Ang Mo Kio,Total,60 - 64,4-Room Flats,3030
Ang Mo Kio,Total,60 - 64,5-Room and Executive Flats,1460
Ang Mo Kio,Total,60 - 64,Condominiums and Other Apartments,950
Ang Mo Kio,Total,60 - 64,Landed Properties,1160
Ang Mo Kio,Total,60 - 64,Others,100
Ang Mo Kio,Total,65 - 69,Total,12010
Ang Mo Kio,Total,65 - 69,Total HDB^,10040
Ang Mo Kio,Total,65 - 69,1- and 2-Room Flats*,1040
Ang Mo Kio,Total,65 - 69,3-Room Flats,4630
Ang Mo Kio,Total,65 - 69,4-Room Flats,2990
Ang Mo Kio,Total,65 - 69,5-Room and Executive Flats,1380
Ang Mo Kio,Total,65 - 69,Condominiums and Other Apartments,710
Ang Mo Kio,Total,65 - 69,Landed Properties,1140
Ang Mo Kio,Total,65 - 69,Others,130
Ang Mo Kio,Total,70 - 74,Total,11080
Ang Mo Kio,Total,70 - 74,Total HDB^,9460
Ang Mo Kio,Total,70 - 74,1- and 2-Room Flats*,910
Ang Mo Kio,Total,70 - 74,3-Room Flats,4380
Ang Mo Kio,Total,70 - 74,4-Room Flats,2870
Ang Mo Kio,Total,70 - 74,5-Room and Executive Flats,1290
